artist,hrsplayed,ranking,hrsplayedround
Neutral Milk Hotel,0.765575556,6,0.77
The Jesus and Mary Chain,0.763903333,7,0.76
XXXTENTACION,0.762421944,2,0.76
Foals,0.757223056,5,0.76
Klaxons,0.757033333,5,0.76
Haybaby,0.756486667,2,0.76
Madvillain,0.749709722,7,0.75
Merzbow,0.747058333,3,0.75
Swell Maps,0.7460725,2,0.75
Lund,0.736930278,2,0.74
Fat White Family,0.735218333,2,0.74
tomemitsu,0.734006111,3,0.73
Squid,0.733496111,4,0.73
IC3PEAK,0.733345556,3,0.73
OGRE YOU ASSHOLE,0.733025556,4,0.73
Santo & Johnny,0.7329625,4,0.73
Machine Girl,0.727101667,3,0.73
NOLIFE,0.723271667,2,0.72
Rina Sawayama,0.722253889,3,0.72
Prettiest Eyes,0.718064722,2,0.72
Michul Kuun,0.71673,7,0.72
Dismemberment Plan,0.713955,7,0.71
Shakewell,0.712946111,5,0.71
Your Arms Are My Cocoon,0.712274722,3,0.71
Jesu,0.711375278,5,0.71
Joey Bada$$,0.709456389,4,0.71
A$AP Ferg,0.708698889,5,0.71
Ecco2k,0.706915,4,0.71
Les Savy Fav,0.706484444,6,0.71
Pinkshinyultrablast,0.702659444,2,0.7
Asobi Seksu,0.701633056,2,0.7
Cities Aviv,0.698555556,5,0.7
Bad Bunny,0.6920225,4,0.69
Tame Impala,0.689315278,5,0.69
Three 6 Mafia,0.68058,6,0.68
Gang Of Four,0.676605,6,0.68
sophie meiers,0.676283611,2,0.68
Pygmy Lush,0.674572778,2,0.67
Moor Jewelry,0.673426944,2,0.67
Stella Donnelly,0.671010278,3,0.67
shame,0.670275,2,0.67
Död Mark,0.669203056,4,0.67
DJ Nervoso,0.668973611,2,0.67
Chamaeleon Church,0.668629444,2,0.67
Porcelain Raft,0.668202778,5,0.67
Chat Pile,0.666180833,3,0.67
WAKUSEI ABNORMAL,0.665909444,2,0.67
Ross from Friends,0.661939444,2,0.66
Devendra Banhart,0.661407222,2,0.66
Black Pus,0.660730278,6,0.66
The Black Heart Procession,0.660210833,5,0.66
Mount Kimbie,0.659396389,6,0.66
Yuck,0.659220556,2,0.66
JAY-Z,0.656735833,4,0.66
Spectrals,0.651191667,2,0.65
Aiming for Enrike,0.651079722,2,0.65
Don Liblet,0.649158611,2,0.65
Dirty Projectors,0.648849167,2,0.65
R.I.P.,0.646929444,2,0.65
88rising,0.645609722,3,0.65
Together Pangea,0.643786667,4,0.64
Kilo Kish,0.638301667,3,0.64
death's dynamic shroud,0.635905278,2,0.64
Beach Fossils,0.634405556,4,0.63
Pueblo,0.634106667,4,0.63
!!!,0.633868889,3,0.63
Algernon Cadwallader,0.633417222,2,0.63
Airiel,0.630599722,2,0.63
J Dilla,0.610806944,2,0.61
Lil Peep,0.610463333,2,0.61
Day Wave,0.610271389,5,0.61
HOMESHAKE,0.609775,5,0.61
Desire,0.601654722,3,0.6
The Beatles,0.598792222,7,0.6
The Wake,0.598163889,3,0.6
OneRepublic,0.5947175,3,0.59
Andrew Broder,0.592771944,2,0.59
Blur,0.591553889,5,0.59
Bay Faction,0.591277778,2,0.59
Psychic TV,0.590461389,2,0.59
BONES,0.588741389,2,0.59
Gaz Coombes,0.585580833,2,0.59
Sports,0.585086111,3,0.59
Lizzy Mercier Descloux,0.576163056,2,0.58
Cate le Bon,0.575722778,2,0.58
White Ring,0.575328611,2,0.58
The Drones,0.574620833,5,0.57
Meltycanon,0.573777222,5,0.57
100 gecs,0.572020556,6,0.57
Jessica Lea Mayfield,0.572015278,5,0.57
Natalia Lafourcade,0.569943056,5,0.57
Bandalos Chinos,0.569182778,2,0.57
Kodak Black,0.568703611,4,0.57
Drake,0.5684475,4,0.57
boy pablo,0.564197222,3,0.56
Sun Araw,0.562594444,2,0.56
Les Rallizes Dénudés,0.558824167,5,0.56
Avenade,0.556352222,2,0.56
Pink Guy,0.555293333,3,0.56
The Replacements,0.554361111,5,0.55
Killing Joke,0.553712778,5,0.55
CAN,0.544750833,7,0.54
JID,0.544293889,3,0.54
PVA,0.543441111,3,0.54
Hot Flash Heat Wave,0.542915556,2,0.54
Hella,0.542583056,6,0.54
125 Rue Montmartre,0.540838056,2,0.54
The Front Bottoms,0.540259167,4,0.54
A. G. Cook,0.536631944,2,0.54
Arcade Fire,0.535186944,3,0.54
Izumi Makura,0.534719444,2,0.53
Gangsta Pat,0.5338375,5,0.53
Chrome Sparks,0.532799722,4,0.53
PlayThatBoiZay,0.532088056,2,0.53
Only The Family,0.5309025,3,0.53
DIIV,0.528935278,4,0.53
Deca,0.525991667,2,0.53
Broken Social Scene,0.524848611,4,0.52
Omar Rodríguez-López,0.523588611,5,0.52
I Hate Myself,0.521837222,2,0.52
Visage,0.519671667,3,0.52
yuragi,0.516826667,3,0.52
The Milky Tangerine,0.5164975,2,0.52
Sega Bodega,0.515403889,2,0.52
Sewerslvt,0.513888889,3,0.51
Sebastian Björnfot,0.513777222,2,0.51
Antbrain,0.512835278,2,0.51
Crywank,0.511608889,3,0.51
Iceage,0.511343333,4,0.51
Pinback,0.5110125,2,0.51
Chastity Belt,0.5080675,3,0.51
Soko,0.505614167,2,0.51
Lane,0.504895556,2,0.5
Sleater-Kinney,0.504436667,5,0.5
Part Time,0.501131944,3,0.5
jonatan leandoer96,0.500665278,2,0.5
???,0.4990525,2,0.5
Lil B,0.498815,3,0.5
Say Sue Me,0.497466667,2,0.5
Real Estate,0.494726389,2,0.49
Sam Cooper,0.494545833,2,0.49
The Stooges,0.494465278,4,0.49
The Walkmen,0.490774722,3,0.49
Deafheaven,0.489405278,4,0.49
Gong Gong Gong ???,0.488278056,3,0.49
Tacoma Radar,0.4873975,2,0.49
Grafix,0.486785833,2,0.49
Something Better,0.485427222,2,0.49
Girl Pusher,0.484604722,4,0.48
Pusha T,0.483835278,5,0.48
YELLOW MAGIC ORCHESTRA,0.480148333,5,0.48
Arca,0.4797625,4,0.48
Clarence Clarity,0.478593056,3,0.48
Ratatat,0.477015833,6,0.48
Eastern Youth,0.475411667,2,0.48
Amelie Lens,0.4748875,2,0.47
Duke Deuce,0.468678611,2,0.47
Brazos,0.467912222,2,0.47
21 Savage,0.467584722,5,0.47
naran ratan,0.466557778,2,0.47
Spiritualized,0.465934444,3,0.47
Trementina,0.465401389,3,0.47
Choir Boy,0.463625556,2,0.46
Psychedelic Porn Crumpets,0.463486389,2,0.46
Hype Williams,0.459842222,2,0.46
Young Marble Giants,0.459765556,2,0.46
Clark,0.458766667,2,0.46
BADBADNOTGOOD,0.458237778,3,0.46
Jakey,0.453575556,2,0.45
Oliver Tree,0.448763611,2,0.45
MF DOOM,0.448674722,7,0.45
Dr. Dog,0.448128889,5,0.45
Justice,0.448003333,2,0.45
Cherry Glazerr,0.447126111,3,0.45
Eyedress,0.4470125,3,0.45
At The Drive In,0.442174167,2,0.44
The Red Pears,0.441924167,2,0.44
Metro Boomin,0.440910556,4,0.44
Das Racist,0.438610556,5,0.44
Hot Chip,0.437508611,5,0.44
Kairon; IRSE!,0.432021667,2,0.43
The Sundays,0.429253056,2,0.43
HotBoy414,0.422592222,2,0.42
Pleasure Craft,0.422505,2,0.42
Grizzly Bear,0.421768333,3,0.42
Vegyn,0.420758611,2,0.42
Blood Orange,0.420364722,4,0.42
YNW Melly,0.419088611,3,0.42
Brian Eno,0.417938056,5,0.42
El Huervo,0.417797778,2,0.42
Krill,0.417697222,2,0.42
Haru Nemuri,0.415344444,2,0.42
Late of the Pier,0.409911667,3,0.41
Flower Travellin' Band,0.406549167,3,0.41
Open Mike Eagle,0.406313333,3,0.41
Buddy Ross,0.406203333,3,0.41
Billie Eilish,0.405189444,3,0.41
Doon Kanda,0.404366389,5,0.4
...And You Will Know Us by the Trail of Dead,0.400516667,4,0.4
The Rebel,0.398204167,4,0.4
Guided By Voices,0.397017778,2,0.4
Bloodbath64,0.3955225,2,0.4
Amnesia Scanner,0.395359444,3,0.4
TV Girl,0.393095556,3,0.39
Sadie and the Ladies,0.392694167,3,0.39
Andrew Bird,0.391874722,3,0.39
Sheena Ringo,0.391403889,3,0.39
sun is poison,0.388190556,3,0.39
Vacations,0.388097222,2,0.39
Bedside Kites,0.3870775,2,0.39
Gus Dapperton,0.386173333,3,0.39
Boards of Canada,0.385980833,6,0.39
Trent Reznor,0.38596,8,0.39
Kevin Abstract,0.385660833,5,0.39
Dot Hacker,0.385443611,3,0.39
